date,id,v,t
2026-09-22,96,84,-8
2026-09-22,421,1139,-359
2026-09-22,1166,58,15
2026-09-22,1373,51,-14
2026-09-22,1466,1391,121
2026-09-22,1479,68,-127
2026-09-22,2133,2419,-347
2026-09-22,2216,2168,238
2026-09-22,2449,1464,561
2026-09-22,3161,112,112
2026-09-22,3163,1477,790
2026-09-22,3198,7604,1412
2026-09-22,3214,290,-6
2026-09-22,3257,68,-5
2026-09-22,3294,1785,-162
2026-09-22,3634,6,7
2026-09-22,4017,26,17
2026-09-22,4034,8287,-373
2026-09-22,4035,232,106
2026-09-22,4037,852,-29
2026-09-22,4046,2140,439
2026-09-22,4177,29,30
2026-09-22,4199,1541,1104
2026-09-22,4217,1585,112
2026-09-22,4866,5692,-1164
2026-09-22,4881,4334,-46
2026-09-22,4892,836,2
2026-09-22,4943,171,-144
2026-09-22,4983,2850,117
2026-09-22,4984,6874,701
2026-09-22,4993,100,103
2026-09-22,5001,576,423
2026-09-22,5012,877,120
2026-09-22,5022,1121,611
2026-09-22,5045,859,-161
2026-09-22,5844,270,91
2026-09-22,5846,1460,134
2026-09-22,5849,330,-327
2026-09-22,5850,2102,-2341
2026-09-22,5854,38,38
2026-09-22,5859,2521,-3659
2026-09-22,5870,156,-69
2026-09-22,5872,1041,525
2026-09-22,5892,4118,810
2026-09-22,5927,1496,-761
2026-09-22,5947,441,56
2026-09-22,5967,866,-455
2026-09-22,6130,142,143
2026-09-22,6770,2174,-1034
2026-09-22,6786,7612,297
2026-09-22,6790,4071,648
2026-09-22,6794,7465,-228
2026-09-22,6797,1220,-1093
2026-09-22,6801,3172,-611
2026-09-22,6804,1000,198
2026-09-22,6806,976,-123
2026-09-22,6813,8407,254
2026-09-22,6819,573,-321
2026-09-22,6904,2313,-441
2026-09-22,7002,729,429
2026-09-22,7021,1126,-295
2026-09-22,7523,1951,-22
2026-09-22,7525,4107,76
2026-09-22,7526,2848,-397
2026-09-22,7543,2526,-1461
2026-09-22,7547,8783,492
2026-09-22,7553,730,-926
2026-09-22,7564,9234,53
2026-09-22,7567,369,-605
2026-09-22,7569,4807,-492
2026-09-22,7571,173,175
2026-09-22,7588,4767,53
2026-09-22,7594,2763,1265
2026-09-22,7600,96,99
2026-09-22,7611,1404,26
2026-09-22,8110,732,-71
2026-09-22,8112,4439,-1639
2026-09-22,8121,522,-72
2026-09-22,8126,371,-496
2026-09-22,8130,6132,644
2026-09-22,8131,1957,1236
2026-09-22,8132,360,43
2026-09-22,8134,575,104
2026-09-22,8136,642,25
2026-09-22,8137,3995,-1346
2026-09-22,8138,7823,135
2026-09-22,8142,922,7
2026-09-22,8144,5651,832
2026-09-22,8146,3511,1
2026-09-22,8148,1494,-879
2026-09-22,8150,4454,-176
2026-09-22,8151,7907,1415
2026-09-22,8154,117,-57
2026-09-22,8155,4744,608
2026-09-22,8161,225,12
2026-09-22,8167,2674,646
2026-09-22,8180,75,-169
2026-09-22,8183,1699,471
2026-09-22,8205,15,-49
